"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1070","Positive: Valid Register","API","Sun Oct 05 15:12:26 EEST 2025","passed","Sun Oct 05 15:12:27 EEST 2025","","tests/API/user.spec.ts","",""
"","524","Negative: Update Note with Unauthorized","API","Sun Oct 05 15:12:29 EEST 2025","passed","Sun Oct 05 15:12:30 EEST 2025","","tests/API/notes.spec.ts","",""
"","594","Negative: register User with invalid mail","API","Sun Oct 05 15:12:27 EEST 2025","passed","Sun Oct 05 15:12:27 EEST 2025","","tests/API/user.spec.ts","",""
"","555","Negative: delete with invalid noteId","API","Sun Oct 05 15:12:30 EEST 2025","passed","Sun Oct 05 15:12:30 EEST 2025","","tests/API/notes.spec.ts","",""
"","5485","verify count increased","E2E","Sun Oct 05 15:12:26 EEST 2025","passed","Sun Oct 05 15:12:31 EEST 2025","","tests/E2E/AngularFlutterApp/AngularFlutter.spec.ts","",""
"","1052","Positive: create Note with valid data","API","Sun Oct 05 15:12:26 EEST 2025","passed","Sun Oct 05 15:12:27 EEST 2025","Notes API","tests/API/notes.spec.ts","",""
"","2488","Add Product and Verify","E2E","Sun Oct 05 15:12:26 EEST 2025","passed","Sun Oct 05 15:12:28 EEST 2025","","tests/E2E/FreshnesApp/AddProdutTest.spec.ts","",""
"","677","Positive: Update Note with valid data","API","Sun Oct 05 15:12:27 EEST 2025","passed","Sun Oct 05 15:12:27 EEST 2025","Notes API","tests/API/notes.spec.ts","",""
"","602","Negative: Change Password with Unauthorized","API","Sun Oct 05 15:12:29 EEST 2025","passed","Sun Oct 05 15:12:30 EEST 2025","","tests/API/user.spec.ts","",""
"","817","Negative: create Note with invalid category","API","Sun Oct 05 15:12:28 EEST 2025","passed","Sun Oct 05 15:12:29 EEST 2025","","tests/API/notes.spec.ts","",""
"","887","Negative: Delete Note with Unauthorized","API","Sun Oct 05 15:12:30 EEST 2025","passed","Sun Oct 05 15:12:31 EEST 2025","","tests/API/notes.spec.ts","",""
"","1514","Positive: Change Password","API","Sun Oct 05 15:12:27 EEST 2025","passed","Sun Oct 05 15:12:29 EEST 2025","","tests/API/user.spec.ts","",""
"","899","Positive: delete Note","API","Sun Oct 05 15:12:27 EEST 2025","passed","Sun Oct 05 15:12:28 EEST 2025","Notes API","tests/API/notes.spec.ts","",""
"","2548","Search Product And Verify Result","E2E","Sun Oct 05 15:12:29 EEST 2025","passed","Sun Oct 05 15:12:31 EEST 2025","","tests/E2E/FreshnesApp/SearchProductTest.spec.ts","",""
